Index,Buy_90,Notrade_135,Notrade_180,Sell_225,SL1,Buy_270,Notrade_315,Notrade_360,Sell_45,SL2
147,86290,86437,86584,86731,86804.5,86878,87025,87173.0,87321.0,87395.0
148,87469,87617,87765,87913,87987.0,88061,88209,88358.0,88507.0,88581.5
149,88656,88805,88954,89103,89177.5,89252,89401,89551.0,89701.0,89776.0
150,89851,90001,90151,90301,90376.0,90451,90601,90752.0,90903.0,90978.5
151,91054,91205,91356,91507,91582.5,91658,91809,91961.0,92113.0,92189.0
152,92265,92417,92569,92721,92797.0,92873,93025,93178.0,93331.0,93407.5
153,93484,93637,93790,93943,94019.5,94096,94249,94403.0,94557.0,94634.0
154,94711,94865,95019,95173,95250.0,95327,95481,95636.0,95791.0,95868.5
155,95946,96101,96256,96411,96488.5,96566,96721,96877.0,97033.0,97111.0
156,97189,97345,97501,97657,97735.0,97813,97969,98126.0,98283.0,98361.5
157,98440,98597,98754,98911,98989.5,99068,99225,99383.0,99541.0,99620.0
158,99699,99857,100015,100173,100252.0,100331,100489,100648.0,100807.0,100886.5
159,100966,101125,101284,101443,101522.5,101602,101761,101921.0,102081.0,102161.0
160,102241,102401,102561,102721,102801.0,102881,103041,103202.0,103363.0,103443.5
161,103524,103685,103846,104007,104087.5,104168,104329,104491.0,104653.0,104734.0
162,104815,104977,105139,105301,105382.0,105463,105625,105788.0,105951.0,106032.5
163,106114,106277,106440,106603,106684.5,106766,106929,107093.0,107257.0,107339.0
164,107421,107585,107749,107913,107995.0,108077,108241,108406.0,108571.0,108653.5
165,108736,108901,109066,109231,109313.5,109396,109561,109727.0,109893.0,109976.0
166,110059,110225,110391,110557,110640.0,110723,110889,111056.0,111223.0,111306.5
167,111390,111557,111724,111891,111974.5,112058,112225,112393.0,112561.0,112645.0
168,112729,112897,113065,113233,113317.0,113401,113569,113738.0,113907.0,113991.5
169,114076,114245,114414,114583,114667.5,114752,114921,115091.0,115261.0,115346.0
170,115431,115601,115771,115941,116026.0,116111,116281,116452.0,116623.0,116708.5
171,116794,116965,117136,117307,117392.5,117478,117649,117821.0,117993.0,118079.0
172,118165,118337,118509,118681,118767.0,118853,119025,119198.0,119371.0,119457.5
173,119544,119717,119890,120063,120149.5,120236,120409,120583.0,120757.0,120844.0
174,120931,121105,121279,121453,121540.0,121627,121801,121976.0,122151.0,122238.5
175,122326,122501,122676,122851,122938.5,123026,123201,123377.0,123553.0,123641.0
176,123729,123905,124081,124257,124345.0,124433,124609,124786.0,124963.0,125051.5
177,125140,125317,125494,125671,125759.5,125848,126025,126203.0,126381.0,126470.0
178,126559,126737,126915,127093,127182.0,127271,127449,127628.0,127807.0,127896.5
179,127986,128165,128344,128523,128612.5,128702,128881,129061.0,129241.0,129331.0
180,129421,129601,129781,129961,130051.0,130141,130321,130502.0,130683.0,130773.5
181,130864,131045,131226,131407,131497.5,131588,131769,131951.0,132133.0,132224.0
