Index,Buy_0,Notrade_45,Notrade_90,Sell_135,SL1,Buy_180,Notrade_225,Notrade_270,Sell_315,SL2
145,83666,83811,83956,84101,84173.5,84246,84391,84536,84681,84754.0
146,84827,84973,85119,85265,85338.0,85411,85557,85703,85849,85922.5
147,85996,86143,86290,86437,86510.5,86584,86731,86878,87025,87099.0
148,87173,87321,87469,87617,87691.0,87765,87913,88061,88209,88283.5
149,88358,88507,88656,88805,88879.5,88954,89103,89252,89401,89476.0
150,89551,89701,89851,90001,90076.0,90151,90301,90451,90601,90676.5
151,90752,90903,91054,91205,91280.5,91356,91507,91658,91809,91885.0
152,91961,92113,92265,92417,92493.0,92569,92721,92873,93025,93101.5
153,93178,93331,93484,93637,93713.5,93790,93943,94096,94249,94326.0
154,94403,94557,94711,94865,94942.0,95019,95173,95327,95481,95558.5
155,95636,95791,95946,96101,96178.5,96256,96411,96566,96721,96799.0
156,96877,97033,97189,97345,97423.0,97501,97657,97813,97969,98047.5
157,98126,98283,98440,98597,98675.5,98754,98911,99068,99225,99304.0
158,99383,99541,99699,99857,99936.0,100015,100173,100331,100489,100568.5
159,100648,100807,100966,101125,101204.5,101284,101443,101602,101761,101841.0
160,101921,102081,102241,102401,102481.0,102561,102721,102881,103041,103121.5
161,103202,103363,103524,103685,103765.5,103846,104007,104168,104329,104410.0
162,104491,104653,104815,104977,105058.0,105139,105301,105463,105625,105706.5
163,105788,105951,106114,106277,106358.5,106440,106603,106766,106929,107011.0
164,107093,107257,107421,107585,107667.0,107749,107913,108077,108241,108323.5
165,108406,108571,108736,108901,108983.5,109066,109231,109396,109561,109644.0
166,109727,109893,110059,110225,110308.0,110391,110557,110723,110889,110972.5
167,111056,111223,111390,111557,111640.5,111724,111891,112058,112225,112309.0
168,112393,112561,112729,112897,112981.0,113065,113233,113401,113569,113653.5
169,113738,113907,114076,114245,114329.5,114414,114583,114752,114921,115006.0
170,115091,115261,115431,115601,115686.0,115771,115941,116111,116281,116366.5
171,116452,116623,116794,116965,117050.5,117136,117307,117478,117649,117735.0
172,117821,117993,118165,118337,118423.0,118509,118681,118853,119025,119111.5
173,119198,119371,119544,119717,119803.5,119890,120063,120236,120409,120496.0
174,120583,120757,120931,121105,121192.0,121279,121453,121627,121801,121888.5
175,121976,122151,122326,122501,122588.5,122676,122851,123026,123201,123289.0
176,123377,123553,123729,123905,123993.0,124081,124257,124433,124609,124697.5
177,124786,124963,125140,125317,125405.5,125494,125671,125848,126025,126114.0
178,126203,126381,126559,126737,126826.0,126915,127093,127271,127449,127538.5
179,127628,127807,127986,128165,128254.5,128344,128523,128702,128881,128971.0
180,129061,129241,129421,129601,129691.0,129781,129961,130141,130321,130411.5
181,130502,130683,130864,131045,131135.5,131226,131407,131588,131769,131860.0
182,131951,132133,132315,132497,132588.0,132679,132861,133043,133225,133316.5
183,133408,133591,133774,133957,134048.5,134140,134323,134506,134689,134781.0
184,134873,135057,135241,135425,135517.0,135609,135793,135977,136161,136253.5
185,136346,136531,136716,136901,136993.5,137086,137271,137456,137641,137734.0
186,137827,138013,138199,138385,138478.0,138571,138757,138943,139129,139222.5
187,139316,139503,139690,139877,139970.5,140064,140251,140438,140625,140719.0
188,140813,141001,141189,141377,141471.0,141565,141753,141941,142129,142223.5
189,142318,142507,142696,142885,142979.5,143074,143263,143452,143641,143736.0
190,143831,144021,144211,144401,144496.0,144591,144781,144971,145161,145256.5
191,145352,145543,145734,145925,146020.5,146116,146307,146498,146689,146785.0
192,146881,147073,147265,147457,147553.0,147649,147841,148033,148225,148321.5
193,148418,148611,148804,148997,149093.5,149190,149383,149576,149769,149866.0
194,149963,150157,150351,150545,150642.0,150739,150933,151127,151321,151418.5
195,151516,151711,151906,152101,152198.5,152296,152491,152686,152881,152979.0
196,153077,153273,153469,153665,153763.0,153861,154057,154253,154449,154547.5
197,154646,154843,155040,155237,155335.5,155434,155631,155828,156025,156124.0
198,156223,156421,156619,156817,156916.0,157015,157213,157411,157609,157708.5
199,157808,158007,158206,158405,158504.5,158604,158803,159002,159201,159301.0
200,159401,159601,159801,160001,160101.0,160201,160401,160601,160801,160901.5
201,161002,161203,161404,161605,161705.5,161806,162007,162208,162409,162510.0
202,162611,162813,163015,163217,163318.0,163419,163621,163823,164025,164126.5
203,164228,164431,164634,164837,164938.5,165040,165243,165446,165649,165751.0
204,165853,166057,166261,166465,166567.0,166669,166873,167077,167281,167383.5
205,167486,167691,167896,168101,168203.5,168306,168511,168716,168921,169024.0
206,169127,169333,169539,169745,169848.0,169951,170157,170363,170569,170672.5
207,170776,170983,171190,171397,171500.5,171604,171811,172018,172225,172329.0
208,172433,172641,172849,173057,173161.0,173265,173473,173681,173889,173993.5
