Index,Buy_315,Notrade_0,Notrade_45,Sell_90,SL1,Buy_135,Notrade_180,Notrade_225,Sell_270,SL2
209,173889.0,174098,174307,174516,174620.5,174725,174934,175143,175352,175456.5
210,175561.0,175771,175981,176191,176296.0,176401,176611,176821,177031,177136.0
211,177241.0,177452,177663,177874,177979.5,178085,178296,178507,178718,178823.5
212,178929.0,179141,179353,179565,179671.0,179777,179989,180201,180413,180519.0
213,180625.0,180838,181051,181264,181370.5,181477,181690,181903,182116,182222.5
214,182329.0,182543,182757,182971,183078.0,183185,183399,183613,183827,183934.0
215,184041.0,184256,184471,184686,184793.5,184901,185116,185331,185546,185653.5
216,185761.0,185977,186193,186409,186517.0,186625,186841,187057,187273,187381.0
217,187489.0,187706,187923,188140,188248.5,188357,188574,188791,189008,189116.5
218,189225.0,189443,189661,189879,189988.0,190097,190315,190533,190751,190860.0
219,190969.0,191188,191407,191626,191735.5,191845,192064,192283,192502,192611.5
220,192721.0,192941,193161,193381,193491.0,193601,193821,194041,194261,194371.0
221,194481.0,194702,194923,195144,195254.5,195365,195586,195807,196028,196138.5
222,196249.0,196471,196693,196915,197026.0,197137,197359,197581,197803,197914.0
223,198025.0,198248,198471,198694,198805.5,198917,199140,199363,199586,199697.5
224,199809.0,200033,200257,200481,200593.0,200705,200929,201153,201377,201489.0
225,201601.0,201826,202051,202276,202388.5,202501,202726,202951,203176,203288.5
226,203401.0,203627,203853,204079,204192.0,204305,204531,204757,204983,205096.0
227,205209.0,205436,205663,205890,206003.5,206117,206344,206571,206798,206911.5
228,207025.0,207253,207481,207709,207823.0,207937,208165,208393,208621,208735.0
229,208849.0,209078,209307,209536,209650.5,209765,209994,210223,210452,210566.5
230,210681.0,210911,211141,211371,211486.0,211601,211831,212061,212291,212406.0
231,212521.0,212752,212983,213214,213329.5,213445,213676,213907,214138,214253.5
232,214369.0,214601,214833,215065,215181.0,215297,215529,215761,215993,216109.0
233,216225.0,216458,216691,216924,217040.5,217157,217390,217623,217856,217972.5
234,218089.0,218323,218557,218791,218908.0,219025,219259,219493,219727,219844.0
235,219961.0,220196,220431,220666,220783.5,220901,221136,221371,221606,221723.5
236,221841.0,222077,222313,222549,222667.0,222785,223021,223257,223493,223611.0
237,223729.0,223966,224203,224440,224558.5,224677,224914,225151,225388,225506.5
238,225625.0,225863,226101,226339,226458.0,226577,226815,227053,227291,227410.0
239,227529.0,227768,228007,228246,228365.5,228485,228724,228963,229202,229321.5
240,229441.0,229681,229921,230161,230281.0,230401,230641,230881,231121,231241.0
241,231361.0,231602,231843,232084,232204.5,232325,232566,232807,233048,233168.5
242,233289.0,233531,233773,234015,234136.0,234257,234499,234741,234983,235104.0
243,235225.0,235468,235711,235954,236075.5,236197,236440,236683,236926,237047.5
244,237169.0,237413,237657,237901,238023.0,238145,238389,238633,238877,238999.0
245,239121.0,239366,239611,239856,239978.5,240101,240346,240591,240836,240958.5
246,241081.0,241327,241573,241819,241942.0,242065,242311,242557,242803,242926.0
247,243049.0,243296,243543,243790,243913.5,244037,244284,244531,244778,244901.5
248,245025.0,245273,245521,245769,245893.0,246017,246265,246513,246761,246885.0
249,247009.0,247258,247507,247756,247880.5,248005,248254,248503,248752,248876.5
250,249001.0,249251,249501,249751,249876.0,250001,250251,250501,250751,250876.0
