Index,Buy_45,Notrade_90,Notrade_135,Sell_180,SL1,Buy_225,Notrade_270,Notrade_315,Sell_360,SL2
153,93331,93484,93637,93790,93866.5,93943,94096,94249,94403.0,94480.0
154,94557,94711,94865,95019,95096.0,95173,95327,95481,95636.0,95713.5
155,95791,95946,96101,96256,96333.5,96411,96566,96721,96877.0,96955.0
156,97033,97189,97345,97501,97579.0,97657,97813,97969,98126.0,98204.5
157,98283,98440,98597,98754,98832.5,98911,99068,99225,99383.0,99462.0
158,99541,99699,99857,100015,100094.0,100173,100331,100489,100648.0,100727.5
159,100807,100966,101125,101284,101363.5,101443,101602,101761,101921.0,102001.0
160,102081,102241,102401,102561,102641.0,102721,102881,103041,103202.0,103282.5
161,103363,103524,103685,103846,103926.5,104007,104168,104329,104491.0,104572.0
162,104653,104815,104977,105139,105220.0,105301,105463,105625,105788.0,105869.5
163,105951,106114,106277,106440,106521.5,106603,106766,106929,107093.0,107175.0
164,107257,107421,107585,107749,107831.0,107913,108077,108241,108406.0,108488.5
165,108571,108736,108901,109066,109148.5,109231,109396,109561,109727.0,109810.0
166,109893,110059,110225,110391,110474.0,110557,110723,110889,111056.0,111139.5
167,111223,111390,111557,111724,111807.5,111891,112058,112225,112393.0,112477.0
168,112561,112729,112897,113065,113149.0,113233,113401,113569,113738.0,113822.5
169,113907,114076,114245,114414,114498.5,114583,114752,114921,115091.0,115176.0
170,115261,115431,115601,115771,115856.0,115941,116111,116281,116452.0,116537.5
171,116623,116794,116965,117136,117221.5,117307,117478,117649,117821.0,117907.0
172,117993,118165,118337,118509,118595.0,118681,118853,119025,119198.0,119284.5
173,119371,119544,119717,119890,119976.5,120063,120236,120409,120583.0,120670.0
174,120757,120931,121105,121279,121366.0,121453,121627,121801,121976.0,122063.5
175,122151,122326,122501,122676,122763.5,122851,123026,123201,123377.0,123465.0
176,123553,123729,123905,124081,124169.0,124257,124433,124609,124786.0,124874.5
177,124963,125140,125317,125494,125582.5,125671,125848,126025,126203.0,126292.0
178,126381,126559,126737,126915,127004.0,127093,127271,127449,127628.0,127717.5
179,127807,127986,128165,128344,128433.5,128523,128702,128881,129061.0,129151.0
180,129241,129421,129601,129781,129871.0,129961,130141,130321,130502.0,130592.5
181,130683,130864,131045,131226,131316.5,131407,131588,131769,131951.0,132042.0
182,132133,132315,132497,132679,132770.0,132861,133043,133225,133408.0,133499.5
183,133591,133774,133957,134140,134231.5,134323,134506,134689,134873.0,134965.0
184,135057,135241,135425,135609,135701.0,135793,135977,136161,136346.0,136438.5
185,136531,136716,136901,137086,137178.5,137271,137456,137641,137827.0,137920.0
186,138013,138199,138385,138571,138664.0,138757,138943,139129,139316.0,139409.5
187,139503,139690,139877,140064,140157.5,140251,140438,140625,140813.0,140907.0
188,141001,141189,141377,141565,141659.0,141753,141941,142129,142318.0,142412.5
189,142507,142696,142885,143074,143168.5,143263,143452,143641,143831.0,143926.0
190,144021,144211,144401,144591,144686.0,144781,144971,145161,145352.0,145447.5
191,145543,145734,145925,146116,146211.5,146307,146498,146689,146881.0,146977.0
192,147073,147265,147457,147649,147745.0,147841,148033,148225,148418.0,148514.5
193,148611,148804,148997,149190,149286.5,149383,149576,149769,149963.0,150060.0
194,150157,150351,150545,150739,150836.0,150933,151127,151321,151516.0,151613.5
195,151711,151906,152101,152296,152393.5,152491,152686,152881,153077.0,153175.0
196,153273,153469,153665,153861,153959.0,154057,154253,154449,154646.0,154744.5
197,154843,155040,155237,155434,155532.5,155631,155828,156025,156223.0,156322.0
198,156421,156619,156817,157015,157114.0,157213,157411,157609,157808.0,157907.5
199,158007,158206,158405,158604,158703.5,158803,159002,159201,159401.0,159501.0
200,159601,159801,160001,160201,160301.0,160401,160601,160801,161002.0,161102.5
201,161203,161404,161605,161806,161906.5,162007,162208,162409,162611.0,162712.0
202,162813,163015,163217,163419,163520.0,163621,163823,164025,164228.0,164329.5
203,164431,164634,164837,165040,165141.5,165243,165446,165649,165853.0,165955.0
204,166057,166261,166465,166669,166771.0,166873,167077,167281,167486.0,167588.5
205,167691,167896,168101,168306,168408.5,168511,168716,168921,169127.0,169230.0
